Wall time,Step,Value
1735664369.3277707,0,2.504995346069336
1735664721.7674985,1,1.5525625944137573
1735665074.4521165,2,1.6778383255004883
1735665408.35517,3,1.0852426290512085
1735665754.3332667,4,0.612901508808136
1735666085.370254,5,0.8665576577186584
1735666418.988026,6,1.1222360134124756
1735666765.9321852,7,0.5790809988975525
1735667118.6093798,8,0.4273008704185486
1735667465.9287124,9,1.673248529434204
1735667825.5589452,10,1.671834111213684
1735668178.8084426,11,0.6123294234275818
1735668530.8814662,12,0.838718831539154
1735668881.4853516,13,0.23091299831867218
1735669226.1684048,14,0.2908311188220978
1735669578.4623067,15,0.13577274978160858
1735669923.4718769,16,0.14619563519954681
1735670273.4885147,17,0.07771439850330353
1735670619.90199,18,0.06272252649068832
1735670973.34022,19,0.2595590353012085
1735671325.7511623,20,0.08687546849250793
1735671694.1416664,21,0.03013603761792183
1735672028.6420205,22,0.1004432812333107
1735672360.2862709,23,0.042984504252672195
1735672688.0399506,24,0.04519161209464073
1735673264.8652062,25,0.02652980387210846
1735674713.4294865,26,0.08300089836120605
